figure_id	panel_id	source_id	record_id	system	variant	dataset	workload	scope	x_name	x_value	x_unit	metric	value	unit	aggregation	protocol_id	correctness_status	plot_eligibility	verdict	value_provenance	protocol_provenance	caveat
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:presence:p50_us	SemL0	schema	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p50_us	7500	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/presence column=p50 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:presence:p90_us	SemL0	schema	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p90_us	10000	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/presence column=p90 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:presence:p99_us	SemL0	schema	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p99_us	10000	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/presence column=p99 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:presence:one_hop_edges_mean	SemL0	schema	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				one_hop_edges_mean	0	edges_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/presence column=one-hop edges mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:candidate_l0_mean	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				candidate_l0_mean	43074	segments_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=candidate L0 mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:body_reads_mean	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				body_reads_mean	42980	records_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=body reads mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:read_bytes_mean_reported	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				read_bytes_mean_reported	27.84	MiB	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=read bytes mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:elapsed_mean_reported	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				elapsed_mean_reported	28.42	s	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=elapsed mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:p50_us	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p50_us	7500	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=p50 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:p90_us	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p90_us	10000	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=p90 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:p99_us	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p99_us	10000	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=p99 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:equality:one_hop_edges_mean	SemL0	schema	SF30	property_equality	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				one_hop_edges_mean	0	edges_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	PROTOTYPE_ONLY_FIX	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/equality column=one-hop edges mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-equality.json top-level repeats/warmup/workload/property fields	Equality uses a separate prototype path; no query-level digest is present.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:candidate_l0_mean	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				candidate_l0_mean	43074	segments_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=candidate L0 mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:body_reads_mean	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				body_reads_mean	42980	records_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=body reads mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:read_bytes_mean_reported	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				read_bytes_mean_reported	27.84	MiB	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=read bytes mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:elapsed_mean_reported	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				elapsed_mean_reported	28.76	s	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=elapsed mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:p50_us	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p50_us	7500	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=p50 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:p90_us	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p90_us	10000	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=p90 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:p99_us	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p99_us	10000	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=p99 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:schema:absent_default:one_hop_edges_mean	SemL0	schema	SF30	property_absent_default	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				one_hop_edges_mean	392123	edges_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=schema/absent_default column=one-hop edges mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/schema/property-absent-default.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:candidate_l0_mean	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				candidate_l0_mean	0	segments_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=candidate L0 mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:body_reads_mean	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				body_reads_mean	0	records_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=body reads mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:read_bytes_mean_reported	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				read_bytes_mean_reported	0	B	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=read bytes mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:elapsed_mean_reported	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				elapsed_mean_reported	4.3	ms	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=elapsed mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:p50_us	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p50_us	25	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=p50 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:p90_us	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p90_us	25	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=p90 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:p99_us	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				p99_us	25	us	summary_percentile	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=p99 us	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:required_property:one_hop_edges_mean	SemL0	budg-b64	SF30	property_required_property	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				one_hop_edges_mean	0	edges_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/required_property column=one-hop edges mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-required-property.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:presence:candidate_l0_mean	SemL0	budg-b64	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				candidate_l0_mean	33608	segments_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/presence column=candidate L0 mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:presence:body_reads_mean	SemL0	budg-b64	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				body_reads_mean	33425	records_per_repeat_reported	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/presence column=body reads mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:presence:read_bytes_mean_reported	SemL0	budg-b64	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				read_bytes_mean_reported	23.81	MiB	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	SECONDARY_ONLY_READER_OVERREAD	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/presence column=read bytes mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
fig5-workload-coverage	w8-property	w8_fig5	W8:property:budg-b64:presence:elapsed_mean_reported	SemL0	budg-b64	SF30	property_presence	edge_type=1; sampled_srcs=5000; repeats=3; warmup_runs=1; same imported store				elapsed_mean_reported	21.95	s	summary_mean	w8_sf30_property	NO_QUERY_LEVEL_DIGEST	FIX_BEFORE_PAPER	FIX	cidr-experiments/data/source-cache/w8-property-2hop-summary-20260615-cn.md#Property predicate results row=budg-b64/presence column=elapsed mean	tmp-w8-inspect/w8-property-2hop-20260614-2025/budg-b64/property-presence.json top-level repeats/warmup/workload/property fields	No query-level result digest is present; repeats reuse one store.
